,BHKW_el,Strombedarf,Waermepumpe_el,Strombezug,PV
2019-01-11 04:00:00,79.2832,-19.84,-59.4432,0.0,0.0
2019-01-11 05:00:00,79.779027,-19.119999999999997,-60.659027,0.0,0.0
2019-01-11 06:00:00,83.461146,-17.5684,-65.892746,0.0,0.0
2019-01-11 07:00:00,89.088908,-20.88,-68.208908,0.0,0.0
2019-01-11 08:00:00,92.755218,-27.2,-65.723402,0.0,0.16818417
2019-01-11 09:00:00,88.454312,-33.56,-55.746053,0.0,0.85174081
2019-01-11 10:00:00,94.740657,-40.4356,-55.126417,0.0,0.82136025
2019-01-11 11:00:00,72.308952,-46.290800000000004,-28.933948,0.0,2.9157963
2019-01-11 12:00:00,93.367503,-46.7676,-48.388748,0.0,1.7888453
2019-01-11 13:00:00,109.09301,-43.796,-66.144209,0.0,0.84719972
2019-01-11 14:00:00,109.82982,-42.0244,-69.112675,0.0,1.307252
2019-01-11 15:00:00,110.60153,-41.2812,-70.090818,0.0,0.77049077
2019-01-11 16:00:00,117.30288,-43.494800000000005,-73.808076,0.0,0.0
2019-01-11 17:00:00,120.92653,-52.4088,-68.51773,0.0,0.0
2019-01-11 18:00:00,123.40536,-54.309200000000004,-69.096162,0.0,0.0
2019-01-11 19:00:00,120.00419,-51.190000000000005,-68.814195,0.0,0.0
2019-01-11 20:00:00,114.12644,-45.2564,-68.870043,0.0,0.0
2019-01-11 21:00:00,107.36597,-41.8232,-65.542768,0.0,0.0
2019-01-11 22:00:00,104.98893,-42.8072,-62.18173,0.0,0.0
2019-01-11 23:00:00,93.458897,-36.28,-57.178897,0.0,0.0
2019-01-12 00:00:00,85.600865,-30.479999999999997,-55.120865,0.0,0.0
2019-01-12 01:00:00,82.364238,-27.119999999999997,-55.244238,0.0,0.0
2019-01-12 02:00:00,79.752173,-25.96,-53.792173,0.0,0.0
2019-01-12 03:00:00,79.284324,-25.799999999999997,-53.484324,0.0,0.0
2019-01-12 04:00:00,82.730162,-28.52,-54.210162,0.0,0.0
2019-01-12 05:00:00,95.782054,-36.6,-59.182054,0.0,0.0
2019-01-12 06:00:00,111.73963,-53.5612,-58.178432,0.0,0.0
2019-01-12 07:00:00,127.92631,-68.534,-59.392314,0.0,0.0
2019-01-12 08:00:00,131.21336,-74.476,-56.804634,0.0,0.067273667
2019-01-12 09:00:00,129.31777,-74.1396,-55.346354,0.0,0.16818417
2019-01-12 10:00:00,135.29742,-77.3348,-58.231716,0.0,0.26909467
2019-01-12 11:00:00,135.67571,-80.1032,-56.110698,0.0,0.53818933
2019-01-12 12:00:00,134.74351,-79.32960000000001,-55.952103,0.0,0.53818933
2019-01-12 13:00:00,130.4801,-78.17960000000001,-52.670506,0.0,0.37000517
2019-01-12 14:00:00,132.61647,-76.31880000000001,-56.499493,0.0,0.201821
2019-01-12 15:00:00,127.18677,-74.1972,-53.05684,0.0,0.067273667
2019-01-12 16:00:00,127.34491,-74.6412,-52.703708,0.0,0.0
2019-01-12 17:00:00,131.30746,-78.044,-53.263459,0.0,0.0
2019-01-12 18:00:00,131.22966,-77.9412,-53.288465,0.0,0.0
2019-01-12 19:00:00,129.00869,-74.5476,-54.461092,0.0,0.0
2019-01-12 20:00:00,117.49669,-66.2108,-51.285892,0.0,0.0
2019-01-12 21:00:00,111.70612,-60.3924,-51.313719,0.0,0.0
2019-01-12 22:00:00,107.10871,-54.776,-52.332714,0.0,0.0
2019-01-12 23:00:00,94.872,-45.022800000000004,-49.8492,0.0,0.0
2019-01-13 00:00:00,88.635157,-37.24,-51.395157,0.0,0.0
2019-01-13 01:00:00,85.894746,-33.160000000000004,-52.734746,0.0,0.0
2019-01-13 02:00:00,85.798962,-31.2,-54.598962,0.0,0.0
2019-01-13 03:00:00,84.034076,-31.16,-52.874076,0.0,0.0
2019-01-13 04:00:00,87.815568,-35.239999999999995,-52.575568,0.0,0.0
2019-01-13 05:00:00,101.45111,-41.7996,-59.651514,0.0,0.0
2019-01-13 06:00:00,114.5683,-54.5492,-60.019103,0.0,0.0
2019-01-13 07:00:00,126.78179,-68.39680000000001,-58.384995,0.0,0.0
2019-01-13 08:00:00,114.81062,-72.0432,-44.05119,0.0,1.2837652
2019-01-13 09:00:00,113.44267,-71.1768,-43.605173,0.0,1.339302
2019-01-13 10:00:00,91.90172,-71.06400000000001,-23.525344,0.0,2.6876239
2019-01-13 11:00:00,70.88231,-71.826,-3.3736372,0.0,4.3173275
2019-01-13 12:00:00,65.581741,-70.7836,-0.0,0.0,5.2018589
2019-01-13 13:00:00,66.235983,-69.4112,-0.25745788,0.0,3.4326748
2019-01-13 14:00:00,113.8426,-65.658,-48.545068,0.0,0.36046395
2019-01-13 15:00:00,116.50277,-65.6912,-50.912476,0.0,0.1009105
2019-01-13 16:00:00,119.86314,-66.588,-53.275135,0.0,0.0
2019-01-13 17:00:00,126.6355,-72.7868,-53.848703,0.0,0.0
2019-01-13 18:00:00,125.14456,-71.73360000000001,-53.410962,0.0,0.0
2019-01-13 19:00:00,123.8749,-66.84719999999999,-57.027697,0.0,0.0
2019-01-13 20:00:00,117.21678,-58.5072,-58.709578,0.0,0.0
2019-01-13 21:00:00,112.5296,-53.2304,-59.2992,0.0,0.0
2019-01-13 22:00:00,100.29635,-49.4408,-50.855546,0.0,0.0
2019-01-13 23:00:00,91.289816,-41.6644,-49.625416,0.0,0.0
2019-01-14 00:00:00,85.352173,-33.36000000000001,-51.992173,0.0,0.0
2019-01-14 01:00:00,84.750616,-28.439999999999998,-56.310616,0.0,0.0
